epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,6148.12,0.70469,0.53238,0.99026,0.96613,0.99677,0.99153,0.84501,0.78334,0.44068,0.97961,0.000302581,0.000302581,0.000302581
149,6189,0.69737,0.50684,0.99732,0.96618,0.99542,0.99153,0.8324,0.7892,0.43901,0.98429,0.000297081,0.000297081,0.000297081
150,6229.63,0.71171,0.50406,1.02716,0.96679,0.9951,0.99125,0.83774,0.79971,0.44424,0.99294,0.000291582,0.000291582,0.000291582
151,6275.06,0.70997,0.52007,1.00692,0.95942,1,0.9917,0.83571,0.80917,0.43878,1.00131,0.000286083,0.000286083,0.000286083
152,6317.65,0.69379,0.50388,1.01864,0.97241,0.98914,0.99327,0.82711,0.82911,0.45028,1.01331,0.000280583,0.000280583,0.000280583
153,6364.87,0.68104,0.49181,1.00497,0.97257,0.99048,0.99335,0.8255,0.83988,0.44677,1.02036,0.000275084,0.000275084,0.000275084
154,6413.88,0.69979,0.49837,1.00873,0.97227,0.98989,0.99335,0.81994,0.8433,0.44985,1.03226,0.000269584,0.000269584,0.000269584
155,6461.49,0.69138,0.4711,0.98224,0.97288,0.98773,0.99305,0.82713,0.82033,0.45683,1.01547,0.000264085,0.000264085,0.000264085
156,6510.5,0.74249,0.52202,1.03177,0.97471,0.98779,0.99205,0.82593,0.78776,0.46032,0.99022,0.000258585,0.000258585,0.000258585
157,6561.4,0.70119,0.50239,1.0056,0.97527,0.98741,0.99184,0.83495,0.77815,0.47971,0.9824,0.000253086,0.000253086,0.000253086
158,6612.05,0.66477,0.47106,1.01208,0.97352,0.98553,0.9913,0.8335,0.77809,0.47613,0.97767,0.000247586,0.000247586,0.000247586
159,6665.43,0.68553,0.48024,0.99942,0.98823,0.98095,0.99072,0.82927,0.78092,0.46751,0.98378,0.000242087,0.000242087,0.000242087
160,6716.04,0.63333,0.47271,0.9895,0.98697,0.98095,0.98848,0.84054,0.75668,0.48001,0.98476,0.000236587,0.000236587,0.000236587
161,6767.7,0.6655,0.49459,0.97277,0.98673,0.98095,0.9873,0.84726,0.75139,0.48464,0.99117,0.000231088,0.000231088,0.000231088
162,6819.29,0.64145,0.50264,0.99184,0.98808,0.98095,0.98731,0.82492,0.75433,0.49151,0.99346,0.000225589,0.000225589,0.000225589
163,6870.15,0.72595,0.5007,1.008,0.98924,0.98095,0.98729,0.83153,0.75688,0.47127,0.98408,0.000220089,0.000220089,0.000220089
164,6918.69,0.70277,0.50394,1.00823,0.98511,0.98314,0.98775,0.83506,0.76501,0.46953,0.98352,0.00021459,0.00021459,0.00021459
165,6971.28,0.67043,0.47452,0.99284,0.98595,0.97956,0.98727,0.82762,0.76739,0.4709,0.98764,0.00020909,0.00020909,0.00020909
166,7022.49,0.68678,0.47929,0.98728,0.97777,0.98095,0.9873,0.83512,0.76301,0.4618,0.98448,0.000203591,0.000203591,0.000203591
167,7073.55,0.64697,0.45082,0.98432,0.97737,0.98771,0.98958,0.83183,0.7511,0.45508,0.97678,0.000198091,0.000198091,0.000198091
168,7125.69,0.64533,0.46295,0.96814,0.97923,0.98531,0.99132,0.84047,0.76018,0.44948,0.98308,0.000192592,0.000192592,0.000192592
169,7177.11,0.68673,0.48498,0.99635,0.97877,0.98275,0.99132,0.83482,0.76571,0.44959,0.9916,0.000187092,0.000187092,0.000187092
170,7228.42,0.66187,0.47603,0.9957,0.9782,0.98371,0.99161,0.83119,0.77036,0.4552,0.99712,0.000181593,0.000181593,0.000181593
171,7279.88,0.62401,0.4636,0.99667,0.9762,0.98835,0.99059,0.83166,0.76948,0.46246,1.00168,0.000176094,0.000176094,0.000176094
172,7330.01,0.65093,0.45888,0.97114,0.97731,0.98779,0.99277,0.83727,0.77305,0.45401,1.00577,0.000170594,0.000170594,0.000170594
173,7380.95,0.63921,0.44438,0.97853,0.9773,0.98837,0.99373,0.84607,0.77076,0.44157,1.00113,0.000165095,0.000165095,0.000165095
174,7430.65,0.6451,0.47766,0.98138,0.97714,0.98832,0.99373,0.84172,0.77041,0.42537,0.99997,0.000159595,0.000159595,0.000159595
175,7480.88,0.63761,0.48447,0.98405,0.97656,0.98909,0.99373,0.83593,0.77318,0.42524,0.9981,0.000154096,0.000154096,0.000154096
176,7530.59,0.63528,0.4373,0.97766,0.97708,0.98801,0.99373,0.84616,0.77605,0.43394,1.00552,0.000148596,0.000148596,0.000148596
177,7580.1,0.6552,0.45579,0.99669,0.97677,0.98834,0.99335,0.84483,0.78045,0.44477,1.01337,0.000143097,0.000143097,0.000143097
178,7633.93,0.63334,0.4533,0.98515,0.97388,0.99048,0.99335,0.84029,0.78925,0.44804,1.0206,0.000137597,0.000137597,0.000137597
179,7688.15,0.65781,0.45399,1.00796,0.97285,0.99048,0.99288,0.83611,0.79666,0.44704,1.0214,0.000132098,0.000132098,0.000132098
180,7741.43,0.64838,0.4539,0.99145,0.96489,0.99043,0.99291,0.83187,0.80224,0.44727,1.0213,0.000126598,0.000126598,0.000126598
181,7794.38,0.62066,0.50147,0.98154,0.97551,0.96128,0.99288,0.83104,0.80528,0.45654,1.01757,0.000121099,0.000121099,0.000121099
182,7847.54,0.6379,0.44126,0.97866,0.97771,0.95842,0.99335,0.82355,0.81056,0.46506,1.01448,0.0001156,0.0001156,0.0001156
