epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4341.91,0.49886,0.57079,0.47889,0.92251,0.88483,0.9116,0.93812,0.74122,0.91109,0.86681,0.88939,0.65067,0.68643,0.91019,0.86919,0.83979,0.000933851,0.000933851,0.000933851
72,4405.5,0.54026,0.62151,0.51174,0.95125,0.88667,0.92153,0.95382,0.78313,0.92516,0.87714,0.90884,0.70288,0.66017,0.94946,0.81765,0.82156,0.000926778,0.000926778,0.000926778
73,4467.89,0.51853,0.57229,0.47786,0.91911,0.85631,0.91194,0.94196,0.7558,0.89449,0.82756,0.89653,0.65674,0.67301,0.98574,0.73362,0.8119,0.000919704,0.000919704,0.000919704
74,4531.92,0.54159,0.64493,0.48929,0.93565,0.94174,0.93789,0.95706,0.8019,0.95622,0.85261,0.91391,0.69455,0.61138,0.8899,0.6666,0.7922,0.000912631,0.000912631,0.000912631
75,4596.65,0.52071,0.56429,0.48593,0.93009,0.86668,0.93789,0.93852,0.79181,0.90868,0.80309,0.89033,0.70244,0.65015,0.83916,0.64646,0.81269,0.000905557,0.000905557,0.000905557
76,4663.93,0.51046,0.57796,0.4795,0.93104,0.92664,0.92843,0.96049,0.80649,0.86605,0.8893,0.91827,0.73602,0.62807,0.85629,0.64073,0.80904,0.000898484,0.000898484,0.000898484
77,4731.07,0.49514,0.55203,0.47978,0.92794,0.93774,0.93109,0.96006,0.78952,0.89518,0.88568,0.92864,0.73576,0.64447,0.8345,0.64052,0.8274,0.00089141,0.00089141,0.00089141
78,4798.3,0.46278,0.48759,0.46046,0.92128,0.80893,0.92822,0.92829,0.74624,0.88184,0.84861,0.92266,0.64759,0.67782,0.95455,0.7494,0.83958,0.000884337,0.000884337,0.000884337
79,4862.06,0.53068,0.55425,0.48599,0.94042,0.90141,0.88513,0.94614,0.78684,0.83847,0.82861,0.86704,0.6866,0.63213,0.91616,0.68691,0.80782,0.000877263,0.000877263,0.000877263
80,4927.46,0.52311,0.56565,0.47998,0.95881,0.89073,0.903,0.92441,0.75459,0.8906,0.8996,0.89751,0.66892,0.6668,0.92364,0.70588,0.81218,0.00087019,0.00087019,0.00087019
81,4990.71,0.49067,0.51396,0.45571,0.92035,0.86573,0.83764,0.88577,0.73182,0.86213,0.83424,0.87451,0.6499,0.63452,0.98142,0.75305,0.80655,0.000863116,0.000863116,0.000863116
82,5055.03,0.50739,0.55566,0.48326,0.9391,0.91377,0.91884,0.96278,0.79776,0.86898,0.87564,0.90249,0.70452,0.67209,0.85895,0.67394,0.83433,0.000856042,0.000856042,0.000856042
83,5119.79,0.4912,0.55234,0.44576,0.92975,0.92785,0.93358,0.96418,0.80095,0.89606,0.90039,0.92458,0.7383,0.64933,0.85932,0.67687,0.81976,0.000848969,0.000848969,0.000848969
84,5184.66,0.48476,0.54402,0.44629,0.92134,0.9273,0.92717,0.95813,0.81158,0.95366,0.88816,0.92434,0.72722,0.63694,0.86275,0.62968,0.81086,0.000841895,0.000841895,0.000841895
85,5252.38,0.50784,0.55684,0.46505,0.93303,0.92538,0.93231,0.96267,0.81834,0.93397,0.94125,0.9663,0.74563,0.63314,0.88635,0.61244,0.80381,0.000834822,0.000834822,0.000834822
86,5325.46,0.49335,0.49119,0.44496,0.92568,0.93529,0.91551,0.96567,0.81968,0.95364,0.89431,0.95158,0.71684,0.60523,0.90724,0.61238,0.7811,0.000827748,0.000827748,0.000827748
87,5396.67,0.49086,0.54486,0.46986,0.93437,0.96396,0.86689,0.95846,0.83262,0.96396,0.86689,0.95772,0.75504,0.58949,0.90081,0.62175,0.78157,0.000820675,0.000820675,0.000820675
88,5462.31,0.49874,0.60245,0.45506,0.93009,0.93815,0.90631,0.96092,0.8123,0.9425,0.91312,0.96646,0.7192,0.60438,0.93874,0.60533,0.78461,0.000813601,0.000813601,0.000813601
89,5529.29,0.51206,0.55068,0.46643,0.93152,0.91793,0.90964,0.95672,0.81488,0.92716,0.91859,0.9652,0.75388,0.6351,0.99335,0.68174,0.80554,0.000806528,0.000806528,0.000806528
90,5595.01,0.49529,0.48796,0.43992,0.93364,0.83997,0.93482,0.95159,0.80374,0.85701,0.80976,0.90118,0.6912,0.5993,1.04647,0.72714,0.78441,0.000799454,0.000799454,0.000799454
91,5659.69,0.46519,0.53389,0.43494,0.91187,0.93559,0.91517,0.95267,0.80866,0.89533,0.8735,0.92984,0.72025,0.58342,0.8493,0.62379,0.76589,0.00079238,0.00079238,0.00079238
92,5722.4,0.49301,0.52838,0.44819,0.93341,0.94818,0.92769,0.96721,0.80685,0.89548,0.8844,0.91944,0.73813,0.59763,0.87549,0.59513,0.77442,0.000785307,0.000785307,0.000785307
